branch,cgpa,interest_domain,favorite_subject,technical_skills,projects_count,certifications_count,internship_experience,aptitude_score,logical_score,analytical_score,creativity_score,communication_score,coding_score,preferred_work_style,recommended_career
Mechanical,7.4,Web,Computer Networks,"CSS,Git,HTML,JavaScript,Node,React",1,2,No,58,61,66,61,51,51,Coding,Full Stack Developer
IT,9.1,Security,Network Security,"Linux,Networking,OWASP,SIEM",0,0,Yes,84,93,92,73,92,99,Analytical,Cybersecurity Analyst
EEE,7.4,Data,DBMS,"Excel,Pandas,Python,SQL,Tableau",1,1,No,65,60,64,64,59,64,Management,Data Analyst
EEE,8.9,Security,Cryptography,"Communication,Linux,Networking,OWASP",0,1,Yes,83,79,87,66,93,88,Analytical,Cybersecurity Analyst
ECE,6.2,Web,Web Technology,"API testing,SQL,Selenium,Testing",2,2,No,73,68,69,71,74,73,Management,QA/Test Engineer
EEE,7.4,Cloud,Cloud Computing,"AWS,Docker,Networking",5,3,Yes,95,91,92,99,93,85,Analytical,Cloud Engineer
Civil,6.7,Web,Computer Networks,"Excel,Git,Linux,Python,REST",1,0,No,83,82,93,95,77,74,Analytical,Backend Developer
EEE,7.8,Security,OS,"Communication,Linux,Networking,OWASP,SIEM",4,0,No,67,58,71,78,69,86,Creative,Cybersecurity Analyst
Civil,7.5,Web,Web Technology,"API testing,Excel,SQL,Selenium,Testing",3,1,No,92,86,99,95,99,99,Management,QA/Test Engineer
ECE,7.7,Web,Web Technology,"CSS,Docker,Git,HTML,JavaScript,Node,React",4,2,Yes,93,84,96,91,99,99,Analytical,Full Stack Developer
Mechanical,9.3,Security,Cryptography,"Linux,OWASP,SIEM",2,1,No,64,68,57,49,62,63,Coding,Cybersecurity Analyst
EEE,6.4,Web,Web Technology,"Git,Linux,Python,SQL",2,3,No,81,79,89,69,92,86,Management,Backend Developer
Civil,7.1,Data,Data Mining,"Excel,Pandas,Python,SQL,Tableau",3,0,No,93,94,99,99,95,99,Management,Data Analyst
IT,6.3,Data,ML,"ML,Pandas,Python,SQL,Statistics",1,0,No,55,45,64,42,49,72,Management,Data Scientist
EEE,8.3,Web,Computer Networks,"API testing,SQL,Selenium,Testing",3,2,No,67,69,64,54,53,74,Coding,QA/Test Engineer
ECE,8.8,Data,DBMS,"Excel,Pandas,Python,SQL,Tableau",5,1,No,75,73,86,63,62,70,Coding,Data Analyst
ECE,7.5,Cloud,OS,"CI/CD,Docker,Git,Kubernetes,Linux",1,1,No,79,87,76,96,79,70,Coding,DevOps Engineer
EEE,8.2,Mobile,Kotlin,"Android,Git,Kotlin,REST",5,1,Yes,95,95,93,78,99,96,Creative,Android Developer
EEE,9.4,Web,Computer Networks,"CSS,Git,HTML,JavaScript,React",1,3,No,88,91,96,99,92,99,Management,Frontend Developer
Civil,6.9,Web,JavaScript,"API testing,SQL,Testing",3,0,No,82,76,83,69,69,73,Management,QA/Test Engineer
ECE,8.2,AI,ML,"Deep Learning,Docker,Python,SQL",4,1,No,60,63,52,69,65,63,Management,Machine Learning Engineer
CSE,9.0,Security,Network Security,"Linux,Networking,OWASP,SIEM",0,3,Yes,74,74,78,58,69,81,Analytical,Cybersecurity Analyst
Civil,6.1,Web,Computer Networks,"API testing,SQL,Selenium,Testing",4,0,Yes,67,75,74,83,70,81,Creative,QA/Test Engineer
CSE,8.6,Cloud,OS,"AWS,Docker,Statistics,Terraform",0,0,No,83,80,89,85,81,79,Coding,Cloud Engineer
IT,8.8,Web,JavaScript,"CSS,Git,HTML,JavaScript,React",4,3,No,90,90,78,94,96,99,Coding,Frontend Developer
Mechanical,6.0,Data,DBMS,"Excel,Pandas,Python,SQL,Tableau",5,2,Yes,89,89,99,84,99,96,Analytical,Data Analyst
IT,7.9,Web,Web Technology,"CSS,Git,HTML,JavaScript,React",1,0,No,90,87,81,81,95,97,Creative,Frontend Developer
Mechanical,8.2,Cloud,Computer Networks,"AWS,Docker,Networking,Terraform",2,2,No,72,76,63,70,77,80,Management,Cloud Engineer
CSE,8.9,Web,Web Technology,"CSS,Docker,Git,HTML,JavaScript,Node,React,SQL",2,1,No,94,99,99,77,94,99,Coding,Full Stack Developer
CSE,7.5,Web,Computer Networks,"API testing,SQL,Selenium,Teamwork,Testing",3,3,No,63,57,67,74,72,67,Management,QA/Test Engineer
ECE,8.5,Web,JavaScript,"API testing,SQL,Selenium,Testing",5,2,No,65,70,72,60,59,77,Creative,QA/Test Engineer
Civil,7.6,Web,Web Technology,"API testing,SQL,Selenium,Testing",0,3,No,90,83,93,99,90,83,Analytical,QA/Test Engineer
Mechanical,7.0,Cloud,Cloud Computing,"CI/CD,Docker,Git,Kubernetes,Linux",2,0,No,63,69,58,52,66,76,Creative,DevOps Engineer
EEE,7.1,Web,Web Technology,"CSS,Git,HTML,JavaScript,Node,React,SQL",4,2,No,94,99,97,88,99,91,Coding,Full Stack Developer
IT,6.3,Web,Computer Networks,"API testing,Docker,SQL,Selenium",0,0,No,62,64,50,54,67,67,Management,QA/Test Engineer
IT,8.4,Cloud,Computer Networks,"AWS,Docker,Terraform",0,2,No,68,59,69,66,63,77,Management,Cloud Engineer
CSE,9.4,Web,Computer Networks,"CSS,Git,JavaScript,React",4,1,No,88,90,95,99,99,84,Analytical,Frontend Developer
Civil,6.7,Web,JavaScript,"API testing,SQL,Selenium,Testing",2,0,Yes,90,95,79,75,85,99,Analytical,QA/Test Engineer
Civil,8.2,Business,Economics,"Agile,Documentation,Excel,SQL,Statistics",4,0,No,56,49,58,71,57,64,Analytical,Business Analyst
EEE,7.6,AI,Deep Learning,"Deep Learning,Docker,ML,Python",0,2,No,89,81,83,87,97,99,Creative,Machine Learning Engineer
Mechanical,6.2,Web,Computer Networks,"Git,Linux,Python,REST,SQL",3,2,No,58,52,55,59,54,51,Analytical,Backend Developer
Mechanical,8.9,Web,Web Technology,"Git,Linux,Python,REST,SQL",3,0,No,88,84,87,99,93,92,Creative,Backend Developer
Civil,6.2,Business,Management,"Agile,Documentation,Excel,SQL",5,3,No,93,89,99,94,99,89,Management,Business Analyst
Mechanical,8.0,Data,DBMS,"Excel,Pandas,Python,SQL,Statistics,Tableau",1,1,No,59,59,71,51,62,64,Management,Data Analyst
Civil,6.4,Web,Computer Networks,"Git,Linux,Python,REST,SQL,Statistics",5,1,No,61,71,53,59,52,56,Analytical,Backend Developer
Civil,9.3,Data,Data Mining,"Linux,ML,Pandas,Python,SQL,Statistics",0,3,No,63,65,83,46,68,74,Coding,Data Scientist
